time, AIRS3STD_7_0_SurfAirTemp_A
2020-01-01,0.162499994
2020-01-02,2.7874999
2020-01-03,-9999.0
2020-01-04,-9999.0
2020-01-05,-1.39999998
2020-01-06,-9999.0
2020-01-07,-9999.0
2020-01-08,-9999.0
2020-01-09,-3.4000001
2020-01-10,-9999.0
2020-01-11,-9999.0
2020-01-12,-9999.0
2020-01-13,-9999.0
2020-01-14,4.9749999
2020-01-15,-9999.0
2020-01-16,-3.9000001
2020-01-17,-3.9000001
2020-01-18,-9999.0
2020-01-19,-3.4000001
2020-01-20,-3.5875001
2020-01-21,-1.89999998
2020-01-22,3.9124999
2020-01-23,4.4124999
2020-01-24,9.78750038
2020-01-25,-9999.0
2020-01-26,0.474999994
2020-01-27,-9999.0
2020-01-28,-3.7125001
2020-01-29,-9999.0
2020-01-30,-1.46249998
2020-01-31,-9999.0
2020-02-01,-4.9000001
2020-02-02,-2.0875001
2020-02-03,1.47500002
2020-02-04,5.0374999
2020-02-05,-9999.0
2020-02-06,-9999.0
2020-02-07,-9999.0
2020-02-08,-6.2125001
2020-02-09,2.4749999
2020-02-10,3.5999999
2020-02-11,3.7249999
2020-02-12,-1.58749998
2020-02-13,-9999.0
2020-02-14,-9999.0
2020-02-15,-3.2125001
2020-02-16,-9999.0
2020-02-17,-1.83749998
2020-02-18,7.0374999
2020-02-19,-0.524999976
2020-02-20,-9999.0
2020-02-21,-1.27499998
2020-02-22,1.91250002
2020-02-23,8.66250038
2020-02-24,4.9124999
2020-02-25,3.0374999
2020-02-26,8.91250038
2020-02-27,-9999.0
2020-02-28,-4.9000001
2020-02-29,-7.5250001
2020-03-01,0.224999994
2020-03-02,5.7249999
2020-03-03,-9999.0
2020-03-04,2.9749999
2020-03-05,4.4749999
2020-03-06,5.0374999
2020-03-07,1.60000002
2020-03-08,8.72500038
2020-03-09,13.4125004
2020-03-10,-9999.0
2020-03-11,-9999.0
2020-03-12,-9999.0
2020-03-13,-9999.0
2020-03-14,3.2874999
2020-03-15,0.162499994
2020-03-16,3.9124999
2020-03-17,-9999.0
2020-03-18,3.6624999
2020-03-19,-9999.0
2020-03-20,15.7250004
2020-03-21,-1.33749998
2020-03-22,1.35000002
2020-03-23,-9999.0
2020-03-24,4.6624999
2020-03-25,8.28750038
2020-03-26,-9999.0
2020-03-27,5.9749999
2020-03-28,-9999.0
2020-03-29,-9999.0
2020-03-30,-9999.0
2020-03-31,-9999.0
2020-04-01,5.6624999
2020-04-02,-9999.0
2020-04-03,10.4750004
2020-04-04,-9999.0
2020-04-05,-9999.0
2020-04-06,9.60000038
2020-04-07,11.7250004
2020-04-08,-9999.0
2020-04-09,3.0374999
2020-04-10,1.10000002
2020-04-11,2.8499999
2020-04-12,-9999.0
2020-04-13,-9999.0
2020-04-14,-9999.0
2020-04-15,0.725000024
2020-04-16,2.2249999
2020-04-17,-9999.0
2020-04-18,5.4124999
2020-04-19,-9999.0
2020-04-20,-9999.0
2020-04-21,4.2874999
2020-04-22,1.22500002
2020-04-23,7.5999999
2020-04-24,-9999.0
2020-04-25,8.03750038
2020-04-26,-9999.0
2020-04-27,-9999.0
2020-04-28,7.7249999
2020-04-29,-9999.0
2020-04-30,-9999.0
2020-05-01,-9999.0
2020-05-02,-9999.0
2020-05-03,18.2875004
2020-05-04,-9999.0
2020-05-05,8.72500038
2020-05-06,-9999.0
2020-05-07,-9999.0
2020-05-08,1.03750002
2020-05-09,2.2249999
2020-05-10,-9999.0
2020-05-11,5.9749999
2020-05-12,-9999.0
2020-05-13,-9999.0
2020-05-14,-9999.0
2020-05-15,-9999.0
2020-05-16,-9999.0
2020-05-17,-9999.0
2020-05-18,-9999.0
2020-05-19,-9999.0
2020-05-20,-9999.0
2020-05-21,20.5375004
2020-05-22,-9999.0
2020-05-23,15.4125004
2020-05-24,-9999.0
2020-05-25,-9999.0
2020-05-26,-9999.0
2020-05-27,-9999.0
2020-05-28,-9999.0
2020-05-29,-9999.0
2020-05-30,-9999.0
2020-05-31,-9999.0
2020-06-01,-9999.0
2020-06-02,-9999.0
2020-06-03,-9999.0
2020-06-04,24.2250004
2020-06-05,-9999.0
2020-06-06,-9999.0
2020-06-07,-9999.0
2020-06-08,15.4125004
2020-06-09,22.9125004
2020-06-10,26.7875004
2020-06-11,-9999.0
2020-06-12,-9999.0
2020-06-13,-9999.0
2020-06-14,-9999.0
2020-06-15,20.9750004
2020-06-16,-9999.0
2020-06-17,-9999.0
2020-06-18,26.4125004
2020-06-19,23.6625004
2020-06-20,26.4750004
2020-06-21,-9999.0
2020-06-22,27.6625004
2020-06-23,-9999.0
2020-06-24,16.2250004
2020-06-25,-9999.0
2020-06-26,22.8500004
2020-06-27,20.1000004
2020-06-28,21.7250004
2020-06-29,-9999.0
2020-06-30,-9999.0
2020-07-01,-9999.0
2020-07-02,-9999.0
2020-07-03,-9999.0
2020-07-04,24.2875004
2020-07-05,26.2875004
2020-07-06,25.9750004
2020-07-07,26.6625004
2020-07-08,27.4750004
2020-07-09,-9999.0
2020-07-10,27.9750004
2020-07-11,24.2250004
2020-07-12,21.7875004
2020-07-13,-9999.0
2020-07-14,22.2875004
2020-07-15,-9999.0
2020-07-16,-9999.0
2020-07-17,23.1000004
2020-07-18,-9999.0
2020-07-19,29.0375004
2020-07-20,23.4750004
2020-07-21,22.9125004
2020-07-22,-9999.0
2020-07-23,-9999.0
2020-07-24,24.6625004
2020-07-25,-9999.0
2020-07-26,23.6625004
2020-07-27,27.9125004
2020-07-28,22.8500004
2020-07-29,24.4125004
2020-07-30,22.7875004
2020-07-31,23.7875004
2020-08-01,24.5375004
2020-08-02,24.6000004
2020-08-03,21.8500004
2020-08-04,-9999.0
2020-08-05,19.2250004
2020-08-06,19.6000004
2020-08-07,21.8500004
2020-08-08,23.4750004
2020-08-09,26.5375004
2020-08-10,-9999.0
2020-08-11,25.2875004
2020-08-12,23.6625004
2020-08-13,24.9125004
2020-08-14,24.6000004
2020-08-15,-9999.0
2020-08-16,-9999.0
2020-09-02,-9999.0
2020-09-03,20.2250004
2020-09-04,17.7875004
2020-09-05,17.1000004
2020-09-06,18.4750004
2020-09-07,20.0375004
2020-09-08,23.6625004
2020-09-09,26.2250004
2020-09-10,17.7250004
2020-09-11,-9999.0
2020-09-12,21.0375004
2020-09-13,22.0375004
2020-09-14,15.0375004
2020-09-15,16.6000004
2020-09-16,20.9750004
2020-09-17,17.1000004
2020-09-18,-9999.0
2020-09-19,12.6625004
2020-09-20,13.7875004
2020-09-21,16.3500004
2020-09-22,18.1000004
2020-09-23,17.9125004
2020-09-24,19.2875004
2020-09-25,22.6000004
2020-09-26,20.7875004
2020-09-27,-9999.0
2020-09-28,21.6625004
2020-09-29,-9999.0
2020-09-30,-9999.0
2020-10-01,12.2250004
2020-10-02,11.6000004
2020-10-03,10.2875004
2020-10-04,-9999.0
2020-10-05,12.2875004
2020-10-06,14.9125004
2020-10-07,15.1000004
2020-10-08,12.2875004
2020-10-09,15.2875004
2020-10-10,20.6625004
2020-10-11,14.1000004
2020-10-12,15.5375004
2020-10-13,-9999.0
2020-10-14,13.2875004
2020-10-15,17.2250004
2020-10-16,-9999.0
2020-10-17,10.2875004
2020-10-18,-9999.0
2020-10-19,-9999.0
2020-10-20,-9999.0
2020-10-21,14.9750004
2020-10-22,-9999.0
2020-10-23,19.9750004
2020-10-24,-9999.0
2020-10-25,9.72500038
2020-10-26,-9999.0
2020-10-27,-9999.0
2020-10-28,8.97500038
2020-10-29,-9999.0
2020-10-30,4.9124999
2020-10-31,8.16250038
2020-11-01,-9999.0
2020-11-02,0.474999994
2020-11-03,4.5374999
2020-11-04,15.9125004
2020-11-05,-9999.0
2020-11-06,-9999.0
2020-11-07,-9999.0
2020-11-08,17.2875004
2020-11-09,-9999.0
2020-11-10,17.1000004
2020-11-11,-9999.0
2020-11-12,-9999.0
2020-11-13,9.85000038
2020-11-14,-9999.0
2020-11-15,-9999.0
2020-11-16,-9999.0
2020-11-17,-0.712499976
2020-11-18,0.349999994
2020-11-19,11.9750004
2020-11-20,-9999.0
2020-11-21,-9999.0
2020-11-22,2.3499999
2020-11-23,-9999.0
2020-11-24,3.5374999
2020-11-25,6.3499999
2020-11-26,5.7249999
2020-11-27,-9999.0
2020-11-28,-9999.0
2020-11-29,6.8499999
2020-11-30,-9999.0
2020-12-01,-9999.0
2020-12-02,-9999.0
2020-12-03,3.5374999
2020-12-04,-9999.0
2020-12-05,-9999.0
2020-12-06,-9999.0
2020-12-07,-9999.0
2020-12-08,-9999.0
2020-12-09,0.224999994
2020-12-10,0.662500024
2020-12-11,9.41250038
2020-12-12,-9999.0
2020-12-13,-9999.0
2020-12-14,-9999.0
2020-12-15,-1.27499998
2020-12-16,-9999.0
2020-12-17,-3.6500001
2020-12-18,0.537500024
2020-12-19,-9999.0
2020-12-20,-1.52499998
2020-12-21,1.47500002
2020-12-22,3.2874999
2020-12-23,5.9749999
2020-12-24,-9999.0
2020-12-25,-9999.0
2020-12-26,-9999.0
2020-12-27,1.16250002
2020-12-28,-9999.0
2020-12-29,-3.5875001
2020-12-30,8.28750038
2020-12-31,4.0374999
2021-01-01,-9999.0
2021-01-02,2.9749999
2021-01-03,1.22500002
2021-01-04,-0.462500006
2021-01-05,-1.46249998
2021-01-06,1.85000002
2021-01-07,-9999.0
2021-01-08,-9999.0
2021-01-09,-0.462500006
2021-01-10,-0.712499976
2021-01-11,-3.2750001
2021-01-12,-2.9000001
2021-01-13,-1.71249998
2021-01-14,-9999.0
2021-01-15,11.7250004
2021-01-16,-0.649999976
2021-01-17,-9999.0
2021-01-18,-5.0875001
2021-01-19,-0.212500006
2021-01-20,-4.2125001
2021-01-21,-6.4625001
2021-01-22,-9999.0
2021-01-23,-3.2125001
2021-01-24,-4.0875001
2021-01-25,-1.96249998
2021-01-26,-9999.0
2021-01-27,0.412499994
2021-01-28,-5.5250001
2021-01-29,-3.3375001
2021-01-30,-4.4625001
2021-01-31,-3.7750001
2021-02-01,-1.21249998
2021-02-02,-9999.0
2021-02-03,-4.5250001
2021-02-04,2.4749999
2021-02-05,1.78750002
2021-02-06,-7.0250001
2021-02-07,-9999.0
2021-02-08,-6.7750001
2021-02-09,-0.649999976
2021-02-10,-5.2125001
2021-02-11,-6.0875001
2021-02-12,-8.39999962
2021-02-13,-1.52499998
2021-02-14,-3.1500001
2021-02-15,-2.7750001
2021-02-16,-0.524999976
2021-02-17,-5.2125001
2021-02-18,-9999.0
2021-02-19,-2.7750001
2021-02-20,-4.5250001
2021-02-21,-3.1500001
2021-02-22,-9999.0
2021-02-23,0.474999994
2021-02-24,9.28750038
2021-02-25,-0.275000006
2021-02-26,1.22500002
2021-02-27,-9999.0
2021-02-28,-9999.0
2021-03-01,-1.83749998
2021-03-02,-4.5875001
2021-03-03,2.8499999
2021-03-04,-3.0875001
2021-03-05,-3.5250001
2021-03-06,-9999.0
2021-03-07,-2.8375001
2021-03-08,5.5374999
2021-03-09,6.1624999
2021-03-10,10.4125004
2021-03-11,13.2250004
2021-03-12,6.7874999
2021-03-13,1.22500002
2021-03-14,-1.71249998
2021-03-15,-0.899999976
2021-03-16,1.78750002
2021-03-17,7.8499999
2021-03-18,-9999.0
2021-03-19,1.72500002
2021-03-20,-9999.0
2021-03-21,8.28750038
2021-03-22,-9999.0
2021-03-23,7.0374999
2021-03-24,12.5375004
2021-03-25,13.3500004
2021-03-26,-9999.0
2021-03-27,-9999.0
2021-03-28,-9999.0
2021-03-29,2.6624999
2021-03-30,11.4750004
2021-03-31,-9999.0
2021-04-01,-0.649999976
2021-04-02,-9999.0
2021-04-03,6.7249999
2021-04-04,9.78750038
2021-04-05,10.7875004
2021-04-06,10.5375004
2021-04-07,-9999.0
2021-04-08,16.7250004
2021-04-09,-9999.0
2021-04-10,20.8500004
2021-04-11,-9999.0
2021-04-12,-9999.0
2021-04-13,13.7250004
2021-04-14,14.1000004
2021-04-15,-9999.0
2021-04-16,3.6624999
2021-04-17,7.0999999
2021-04-18,9.78750038
2021-04-19,11.1000004
2021-04-20,-9999.0
2021-04-21,-9999.0
2021-04-22,2.9749999
2021-04-23,-9999.0
2021-04-24,11.6000004
2021-04-25,5.7249999
2021-04-26,5.0374999
2021-04-27,-9999.0
2021-04-28,-9999.0
2021-04-29,-9999.0
2021-04-30,-9999.0
2021-05-01,8.85000038
2021-05-02,-9999.0
2021-05-03,-9999.0
2021-05-04,-9999.0
2021-05-05,-9999.0
2021-05-06,11.7875004
2021-05-07,-9999.0
2021-05-08,6.9124999
2021-05-09,-9999.0
2021-05-10,8.10000038
2021-05-11,-9999.0
2021-05-12,10.6000004
2021-05-13,-9999.0
2021-05-14,-9999.0
2021-05-15,-9999.0
2021-05-16,-9999.0
2021-05-17,19.6000004
2021-05-18,-9999.0
2021-05-19,17.8500004
2021-05-20,-9999.0
2021-05-21,-9999.0
2021-05-22,-9999.0
2021-05-23,-9999.0
2021-05-24,20.8500004
2021-05-25,-9999.0
2021-05-26,-9999.0
2021-05-27,-9999.0
2021-05-28,-9999.0
2021-05-29,-9999.0
2021-05-30,-9999.0
2021-05-31,-9999.0
2021-06-01,-9999.0
2021-06-02,-9999.0
2021-06-03,-9999.0
2021-06-04,17.9750004
2021-06-05,-9999.0
2021-06-06,28.6000004
2021-06-07,-9999.0
2021-06-08,-9999.0
2021-06-09,22.6000004
2021-06-10,-9999.0
2021-06-11,19.4125004
2021-06-12,-9999.0
2021-06-13,24.1000004
2021-06-14,-9999.0
2021-06-15,-9999.0
2021-06-16,17.6625004
2021-06-17,19.3500004
2021-06-18,-9999.0
2021-06-19,-9999.0
2021-06-20,19.4750004
2021-06-21,-9999.0
2021-06-22,-9999.0
2021-06-23,14.9750004
2021-06-24,-9999.0
2021-06-25,-9999.0
2021-06-26,-9999.0
2021-06-27,-9999.0
2021-06-28,-9999.0
2021-06-29,27.9125004
2021-06-30,-9999.0
2021-07-01,-9999.0
2021-07-02,-9999.0
2021-07-03,-9999.0
2021-07-04,22.0375004
2021-07-05,26.9125004
2021-07-06,23.2250004
2021-07-07,-9999.0
2021-07-08,21.6000004
2021-07-09,24.6000004
2021-07-10,-9999.0
2021-07-11,-9999.0
2021-07-12,-9999.0
2021-07-13,22.7250004
2021-07-14,-9999.0
2021-07-15,25.5375004
2021-07-16,-9999.0
2021-07-17,-9999.0
2021-07-18,22.8500004
2021-07-19,23.4750004
2021-07-20,22.6625004
2021-07-21,19.9750004
2021-07-22,18.8500004
2021-07-23,20.1000004
2021-07-24,-9999.0
2021-07-25,22.6000004
2021-07-26,25.2875004
2021-07-27,-9999.0
2021-07-28,-9999.0
2021-07-29,-9999.0
2021-07-30,17.6000004
2021-07-31,17.3500004
2021-08-01,-9999.0
2021-08-02,18.2875004
2021-08-03,20.9750004
2021-08-04,23.9125004
2021-08-05,21.7875004
2021-08-06,23.8500004
2021-08-07,23.9750004
2021-08-08,26.1625004
2021-08-09,24.6625004
2021-08-10,24.6000004
2021-08-11,27.6625004
2021-08-12,-9999.0
2021-08-13,-9999.0
2021-08-14,20.0375004
2021-08-15,20.7250004
2021-08-16,21.1625004
2021-08-17,23.4125004
2021-08-18,-9999.0
2021-08-19,22.9125004
2021-08-20,24.9750004
2021-08-21,23.9125004
2021-08-22,24.7250004
2021-08-23,22.3500004
2021-08-24,24.7250004
2021-08-25,26.3500004
2021-08-26,26.1625004
2021-08-27,23.6000004
2021-08-28,24.4750004
2021-08-29,-9999.0
2021-08-30,21.7250004
2021-08-31,20.9750004
2021-09-01,-9999.0
2021-09-02,-9999.0
2021-09-03,17.4750004
2021-09-04,20.0375004
2021-09-05,-9999.0
2021-09-06,17.4750004
2021-09-07,20.2875004
2021-09-08,19.9750004
2021-09-09,18.2250004
2021-09-10,16.7875004
2021-09-11,19.2250004
2021-09-12,-9999.0
2021-09-13,19.7875004
