time,sur_air_temp,relative_humidity,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,albedo_500,cloud_temp
2020-01-01,0.162499994,-9999.0,-9999.0,3.5078125,0.0,-5.4000001,-1.267651e+30,-16.5249996
2020-01-02,2.7874999,-9999.0,-9999.0,3.65234375,0.0,6.2874999,0.930400014,-2.6500001
2020-01-03,-9999.0,-9999.0,-9999.0,-9999.0,0.0700000003,-9999.0,-1.267651e+30,-26.8687496
2020-01-04,-9999.0,-9999.0,-9999.0,-9999.0,1.15499997,1.22500002,-1.267651e+30,-16.2749996
2020-01-05,-1.39999998,-9999.0,-9999.0,2.3515625,0.0,4.0374999,-1.267651e+30,-12.8999996
2020-01-06,-9999.0,-9999.0,-9999.0,-9999.0,0.649999976,-9999.0,-1.267651e+30,-19.8999996
2020-01-07,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-45.0562515
2020-01-08,-9999.0,-9999.0,-9999.0,-9999.0,1.67499995,-9999.0,-1.267651e+30,-37.1500015
2020-01-09,-3.4000001,78.0,2.39648438,2.49023438,0.0700000003,-5.0875001,-1.267651e+30,-32.3687515
2020-01-10,-9999.0,-9999.0,-9999.0,-9999.0,16.3149986,-9999.0,-1.267651e+30,-37.7750015
2020-01-11,-9999.0,-9999.0,-9999.0,-9999.0,10.874999,3.8499999,-1.267651e+30,-37.4000015
2020-01-12,-9999.0,-9999.0,-9999.0,-9999.0,32.0999985,-9999.0,-1.267651e+30,-10.8999996
2020-01-13,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-9.71249962
2020-01-14,4.9749999,82.0,4.5625,4.3828125,0.344999999,6.9124999,-1.267651e+30,-7.9625001
2020-01-15,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-9999.0
2020-01-16,-3.9000001,-9999.0,-9999.0,1.92480469,0.319999993,-8.27499962,-1.267651e+30,-24.0562496
2020-01-17,-3.9000001,50.25,1.06933594,1.1484375,0.0,-6.3375001,0.917500019,-15.1499996
2020-01-18,-9999.0,-9999.0,-9999.0,-9999.0,7.11499929,-9999.0,-1.267651e+30,-51.5250015
2020-01-19,-3.4000001,-9999.0,-9999.0,2.0546875,0.0149999997,-3.5250001,-1.267651e+30,-20.0562496
2020-01-20,-3.5875001,60.0,1.62011719,1.70703125,0.0299999993,-2.9000001,0.986899972,-12.5249996
2020-01-21,-1.89999998,62.5,1.92773438,1.96386719,0.0,-8.77499962,-1.267651e+30,-29.0249996
2020-01-22,3.9124999,50.0,2.48632812,2.53710938,0.0,0.412499994,-1.267651e+30,-31.7124996
2020-01-23,4.4124999,76.5,3.515625,3.32421875,0.0850000009,0.600000024,-1.267651e+30,-37.4312515
2020-01-24,9.78750038,-9999.0,-9999.0,4.734375,0.86500001,6.8499999,-1.267651e+30,-25.1499996
2020-01-25,-9999.0,-9999.0,-9999.0,-9999.0,29.2749996,-9999.0,-1.267651e+30,-44.9625015
2020-01-26,0.474999994,-9999.0,-9999.0,3.73828125,0.0,-2.2125001,-1.267651e+30,-19.1812496
2020-01-27,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-13.3999996
2020-01-28,-3.7125001,-9999.0,-9999.0,2.46875,0.689999938,-14.0874996,-1.267651e+30,-17.4624996
2020-01-29,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-9999.0
2020-01-30,-1.46249998,66.0,2.234375,2.19726562,0.0,0.474999994,-1.267651e+30,-33.2750015
2020-01-31,-9999.0,-9999.0,-9999.0,-9999.0,0.444999993,-9999.0,-1.267651e+30,-9999.0
2020-02-01,-4.9000001,-9999.0,-9999.0,1.765625,0.0599999987,-11.9624996,-1.267651e+30,-15.7124996
2020-02-02,-2.0875001,-9999.0,-9999.0,3.23632812,0.0899999961,-8.33749962,-1.267651e+30,-23.8999996
2020-02-03,1.47500002,-9999.0,-9999.0,4.28125,0.0,2.3499999,-1.267651e+30,-10.9624996
2020-02-04,5.0374999,-9999.0,-9999.0,4.99609375,0.529999971,-9.83749962,-1.267651e+30,-23.4312496
2020-02-05,-9999.0,-9999.0,-9999.0,-9999.0,0.564999998,-9999.0,-1.267651e+30,-9999.0
2020-02-06,-9999.0,-9999.0,-9999.0,-9999.0,16.7699986,-9999.0,-1.267651e+30,-48.4937515
2020-02-07,-9999.0,-9999.0,-9999.0,-9999.0,24.5350037,-9999.0,-1.267651e+30,-34.6500015
2020-02-08,-6.2125001,67.5,1.59570312,1.39648438,0.275000006,-9.96249962,-1.267651e+30,-22.3062496
2020-02-09,2.4749999,68.0,2.94921875,3.04882812,0.0,0.100000001,-1.267651e+30,-21.2749996
2020-02-10,3.5999999,77.0,3.19921875,3.53320312,4.22499943,-5.5250001,-1.267651e+30,-20.2437496
2020-02-11,3.7249999,-9999.0,-9999.0,-9999.0,0.389999986,-9.89999962,-1.267651e+30,-16.1499996
2020-02-12,-1.58749998,-9999.0,-9999.0,2.54882812,0.379999995,-0.0250000004,-1.267651e+30,-32.2437515
2020-02-13,-9999.0,-9999.0,-9999.0,-9999.0,10.3449984,-9999.0,-1.267651e+30,-15.8999996
2020-02-14,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-1.267651e+30,-16.8999996
2020-02-15,-3.2125001,80.0,2.2890625,2.359375,0.0,0.474999994,-1.267651e+30,-34.8375015
