time, AIRS3STD_7_0_SurfSkinTemp_A
2020-01-01,-5.4000001
2020-01-02,6.2874999
2020-01-03,-9999.0
2020-01-04,1.22500002
2020-01-05,4.0374999
2020-01-06,-9999.0
2020-01-07,-9999.0
2020-01-08,-9999.0
2020-01-09,-5.0875001
2020-01-10,-9999.0
2020-01-11,3.8499999
2020-01-12,-9999.0
2020-01-13,-9999.0
2020-01-14,6.9124999
2020-01-15,-9999.0
2020-01-16,-8.27499962
2020-01-17,-6.3375001
2020-01-18,-9999.0
2020-01-19,-3.5250001
2020-01-20,-2.9000001
2020-01-21,-8.77499962
2020-01-22,0.412499994
2020-01-23,0.600000024
2020-01-24,6.8499999
2020-01-25,-9999.0
2020-01-26,-2.2125001
2020-01-27,-9999.0
2020-01-28,-14.0874996
2020-01-29,-9999.0
2020-01-30,0.474999994
2020-01-31,-9999.0
2020-02-01,-11.9624996
2020-02-02,-8.33749962
2020-02-03,2.3499999
2020-02-04,-9.83749962
2020-02-05,-9999.0
2020-02-06,-9999.0
2020-02-07,-9999.0
2020-02-08,-9.96249962
2020-02-09,0.100000001
2020-02-10,-5.5250001
2020-02-11,-9.89999962
2020-02-12,-0.0250000004
2020-02-13,-9999.0
2020-02-14,-9999.0
2020-02-15,0.474999994
2020-02-16,-9999.0
2020-02-17,0.412499994
2020-02-18,-1.58749998
2020-02-19,2.3499999
2020-02-20,1.78750002
2020-02-21,-0.400000006
2020-02-22,1.72500002
2020-02-23,3.7874999
2020-02-24,3.0374999
2020-02-25,-5.3375001
2020-02-26,-1.71249998
2020-02-27,-9999.0
2020-02-28,-5.4625001
2020-02-29,-7.7125001
2020-03-01,0.912500024
2020-03-02,-1.08749998
2020-03-03,-9999.0
2020-03-04,4.9124999
2020-03-05,5.7874999
2020-03-06,-4.5875001
2020-03-07,3.0374999
2020-03-08,8.10000038
2020-03-09,13.2250004
2020-03-10,8.22500038
2020-03-11,-9999.0
2020-03-12,12.4750004
2020-03-13,-9999.0
2020-03-14,7.7874999
2020-03-15,5.5999999
2020-03-16,7.2249999
2020-03-17,-9999.0
2020-03-18,0.725000024
2020-03-19,-9999.0
2020-03-20,-9999.0
2020-03-21,7.8499999
2020-03-22,5.9124999
2020-03-23,-9999.0
2020-03-24,3.3499999
2020-03-25,5.5999999
2020-03-26,-9999.0
2020-03-27,12.1000004
2020-03-28,1.66250002
2020-03-29,8.47500038
2020-03-30,-9999.0
2020-03-31,1.53750002
2020-04-01,8.41250038
2020-04-02,-9999.0
2020-04-03,1.85000002
2020-04-04,-9999.0
2020-04-05,12.7875004
2020-04-06,12.7250004
2020-04-07,14.2875004
2020-04-08,-9999.0
2020-04-09,4.4749999
2020-04-10,1.97500002
2020-04-11,9.22500038
2020-04-12,-9999.0
2020-04-13,-9999.0
2020-04-14,8.97500038
2020-04-15,5.1624999
2020-04-16,7.2874999
2020-04-17,3.5999999
2020-04-18,8.91250038
2020-04-19,-9999.0
2020-04-20,-9999.0
2020-04-21,7.8499999
2020-04-22,10.0375004
2020-04-23,7.5999999
2020-04-24,-9999.0
2020-04-25,17.2250004
2020-04-26,-9999.0
2020-04-27,-9999.0
2020-04-28,19.5375004
2020-04-29,-9999.0
2020-04-30,-9999.0
2020-05-01,17.2250004
2020-05-02,18.1625004
2020-05-03,22.4750004
2020-05-04,-9999.0
2020-05-05,12.9125004
2020-05-06,-9999.0
2020-05-07,8.28750038
2020-05-08,-9999.0
2020-05-09,-9999.0
2020-05-10,-9999.0
