time, AIRS3STD_7_0_CloudTopTemp_A
2020-01-01,-16.5249996
2020-01-02,-2.6500001
2020-01-03,-26.8687496
2020-01-04,-16.2749996
2020-01-05,-12.8999996
2020-01-06,-19.8999996
2020-01-07,-45.0562515
2020-01-08,-37.1500015
2020-01-09,-32.3687515
2020-01-10,-37.7750015
2020-01-11,-37.4000015
2020-01-12,-10.8999996
2020-01-13,-9.71249962
2020-01-14,-7.9625001
2020-01-15,-9999.0
2020-01-16,-24.0562496
2020-01-17,-15.1499996
2020-01-18,-51.5250015
2020-01-19,-20.0562496
2020-01-20,-12.5249996
2020-01-21,-29.0249996
2020-01-22,-31.7124996
2020-01-23,-37.4312515
2020-01-24,-25.1499996
2020-01-25,-44.9625015
2020-01-26,-19.1812496
2020-01-27,-13.3999996
2020-01-28,-17.4624996
2020-01-29,-9999.0
2020-01-30,-33.2750015
2020-01-31,-9999.0
2020-02-01,-15.7124996
2020-02-02,-23.8999996
2020-02-03,-10.9624996
2020-02-04,-23.4312496
2020-02-05,-9999.0
2020-02-06,-48.4937515
2020-02-07,-34.6500015
2020-02-08,-22.3062496
2020-02-09,-21.2749996
2020-02-10,-20.2437496
2020-02-11,-16.1499996
2020-02-12,-32.2437515
2020-02-13,-15.8999996
2020-02-14,-16.8999996
2020-02-15,-34.8375015
2020-02-16,-9999.0
2020-02-17,-12.1499996
2020-02-18,-36.8062515
2020-02-19,-17.2124996
2020-02-20,-19.1812496
2020-02-21,-5.4625001
2020-02-22,-8.39999962
2020-02-23,-36.9625015
2020-02-24,-23.7749996
2020-02-25,-11.3999996
2020-02-26,-32.2437515
2020-02-27,-23.6499996
2020-02-28,-22.5249996
2020-02-29,-18.8687496
2020-03-01,-13.5249996
2020-03-02,-35.6812515
2020-03-03,-9999.0
2020-03-04,-16.2124996
2020-03-05,-7.9000001
2020-03-06,-34.9625015
2020-03-07,-19.5249996
2020-03-08,-20.3374996
2020-03-09,-14.1499996
2020-03-10,-33.4000015
2020-03-11,-40.7750015
2020-03-12,-10.4624996
2020-03-13,-12.2124996
2020-03-14,-42.4000015
2020-03-15,-23.5562496
2020-03-16,-46.6500015
2020-03-17,-5.7750001
2020-03-18,-35.8062515
2020-03-19,-9999.0
2020-03-20,-39.2437515
2020-03-21,-31.2124996
2020-03-22,-2.4625001
2020-03-23,-45.7125015
2020-03-24,-8.02499962
2020-03-25,-19.0249996
2020-03-26,-9999.0
2020-03-27,-2.6500001
2020-03-28,-25.9624996
2020-03-29,-14.5249996
2020-03-30,-16.2124996
2020-03-31,-5.5250001
2020-04-01,-5.5875001
2020-04-02,-9999.0
2020-04-03,-11.2749996
2020-04-04,-9999.0
2020-04-05,-4.1500001
2020-04-06,-4.4625001
2020-04-07,-38.7750015
2020-04-08,-5.7125001
2020-04-09,-13.4624996
2020-04-10,-21.3687496
2020-04-11,-19.9312496
2020-04-12,-14.8999996
2020-04-13,-45.6812515
2020-04-14,-29.1187496
2020-04-15,-20.8374996
2020-04-16,-21.5249996
2020-04-17,-38.6812515
2020-04-18,-17.0249996
2020-04-19,-20.4937496
