time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-01-01,0.0,0.162499994,-9999.0,-1.267651e+30,-9999.0,3.5078125,-16.5249996,-5.4000001
2020-01-02,0.0,2.7874999,-9999.0,0.930400014,-9999.0,3.65234375,-2.6500001,6.2874999
2020-01-03,0.125,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-26.8687496,-9999.0
2020-01-04,1.10500002,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-16.2749996,1.22500002
2020-01-05,0.0,-1.39999998,-9999.0,-1.267651e+30,-9999.0,2.3515625,-12.8999996,4.0374999
2020-01-06,0.164999992,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-19.8999996,-9999.0
2020-01-07,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-45.0562515,-9999.0
2020-01-08,1.39999998,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-37.1500015,-9999.0
2020-01-09,0.0700000003,-3.4000001,78.0,-1.267651e+30,2.39648438,2.49023438,-32.3687515,-5.0875001
2020-01-10,16.0799999,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-37.7750015,-9999.0
2020-01-11,15.1900005,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-37.4000015,3.8499999
2020-01-12,21.3300018,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-10.8999996,-9999.0
2020-01-13,0.215000004,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9.71249962,-9999.0
2020-01-14,0.0,4.9749999,82.0,-1.267651e+30,4.5625,4.3828125,-7.9625001,6.9124999
2020-01-15,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-01-16,0.210000008,-3.9000001,-9999.0,-1.267651e+30,-9999.0,1.92480469,-24.0562496,-8.27499962
2020-01-17,0.0,-3.9000001,50.25,0.917500019,1.06933594,1.1484375,-15.1499996,-6.3375001
2020-01-18,10.04,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-51.5250015,-9999.0
2020-01-19,0.0149999997,-3.4000001,-9999.0,-1.267651e+30,-9999.0,2.0546875,-20.0562496,-3.5250001
2020-01-20,0.0299999993,-3.5875001,60.0,0.986899972,1.62011719,1.70703125,-12.5249996,-2.9000001
2020-01-21,0.0,-1.89999998,62.5,-1.267651e+30,1.92773438,1.96386719,-29.0249996,-8.77499962
2020-01-22,0.0,3.9124999,50.0,-1.267651e+30,2.48632812,2.53710938,-31.7124996,0.412499994
2020-01-23,0.0899999961,4.4124999,76.5,-1.267651e+30,3.515625,3.32421875,-37.4312515,0.600000024
2020-01-24,0.689999998,9.78750038,-9999.0,-1.267651e+30,-9999.0,4.734375,-25.1499996,6.8499999
2020-01-25,30.0649986,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-44.9625015,-9999.0
2020-01-26,0.0,0.474999994,-9999.0,-1.267651e+30,-9999.0,3.73828125,-19.1812496,-2.2125001
2020-01-27,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-13.3999996,-9999.0
2020-01-28,0.699999928,-3.7125001,-9999.0,-1.267651e+30,-9999.0,2.46875,-17.4624996,-14.0874996
