time, AIRS3STD_7_0_H2O_MMR_Surf_A
2020-01-01,3.5078125
2020-01-02,3.65234375
2020-01-03,-9999.0
2020-01-04,-9999.0
2020-01-05,2.3515625
2020-01-06,-9999.0
2020-01-07,-9999.0
2020-01-08,-9999.0
2020-01-09,2.49023438
2020-01-10,-9999.0
2020-01-11,-9999.0
2020-01-12,-9999.0
2020-01-13,-9999.0
2020-01-14,4.3828125
2020-01-15,-9999.0
2020-01-16,1.92480469
2020-01-17,1.1484375
2020-01-18,-9999.0
2020-01-19,2.0546875
2020-01-20,1.70703125
2020-01-21,1.96386719
2020-01-22,2.53710938
2020-01-23,3.32421875
2020-01-24,4.734375
2020-01-25,-9999.0
2020-01-26,3.73828125
2020-01-27,-9999.0
2020-01-28,2.46875
2020-01-29,-9999.0
2020-01-30,2.19726562
2020-01-31,-9999.0
2020-02-01,1.765625
2020-02-02,3.23632812
2020-02-03,4.28125
2020-02-04,4.99609375
2020-02-05,-9999.0
2020-02-06,-9999.0
2020-02-07,-9999.0
2020-02-08,1.39648438
2020-02-09,3.04882812
2020-02-10,3.53320312
2020-02-11,-9999.0
2020-02-12,2.54882812
2020-02-13,-9999.0
2020-02-14,-9999.0
2020-02-15,2.359375
2020-02-16,-9999.0
2020-02-17,2.046875
2020-02-18,5.2734375
2020-02-19,2.29882812
2020-02-20,-9999.0
2020-02-21,2.25195312
2020-02-22,3.47851562
2020-02-23,3.44921875
2020-02-24,4.31640625
2020-02-25,4.48046875
2020-02-26,4.734375
2020-02-27,-9999.0
2020-02-28,1.91894531
2020-02-29,1.46191406
2020-03-01,2.98242188
2020-03-02,4.23828125
2020-03-03,-9999.0
2020-03-04,2.75585938
2020-03-05,3.71289062
2020-03-06,4.484375
2020-03-07,2.65429688
2020-03-08,4.29296875
2020-03-09,5.6875
2020-03-10,-9999.0
2020-03-11,-9999.0
2020-03-12,-9999.0
2020-03-13,-9999.0
2020-03-14,3.61328125
2020-03-15,2.8203125
2020-03-16,3.05859375
2020-03-17,-9999.0
2020-03-18,4.73828125
2020-03-19,-9999.0
2020-03-20,9.328125
2020-03-21,2.18554688
2020-03-22,2.45703125
2020-03-23,-9999.0
2020-03-24,3.54296875
2020-03-25,4.37109375
2020-03-26,-9999.0
2020-03-27,3.29296875
2020-03-28,-9999.0
2020-03-29,-9999.0
2020-03-30,-9999.0
2020-03-31,-9999.0
2020-04-01,3.984375
2020-04-02,-9999.0
2020-04-03,7.44921875
2020-04-04,-9999.0
2020-04-05,-9999.0
2020-04-06,2.9375
2020-04-07,4.05078125
2020-04-08,-9999.0
2020-04-09,3.90234375
2020-04-10,2.65625
2020-04-11,2.8046875
2020-04-12,-9999.0
2020-04-13,-9999.0
2020-04-14,-9999.0
2020-04-15,2.4609375
2020-04-16,2.30664062
2020-04-17,-9999.0
2020-04-18,3.69335938
2020-04-19,-9999.0
2020-04-20,-9999.0
2020-04-21,3.1640625
2020-04-22,2.06640625
2020-04-23,3.94140625
2020-04-24,-9999.0
2020-04-25,4.328125
2020-04-26,-9999.0
2020-04-27,-9999.0
2020-04-28,4.66796875
2020-04-29,-9999.0
2020-04-30,-9999.0
2020-05-01,-9999.0
2020-05-02,-9999.0
2020-05-03,6.203125
2020-05-04,-9999.0
2020-05-05,2.609375
2020-05-06,-9999.0
2020-05-07,-9999.0
2020-05-08,2.9140625
2020-05-09,3.05078125
2020-05-10,-9999.0
2020-05-11,4.70703125
2020-05-12,-9999.0
2020-05-13,-9999.0
2020-05-14,-9999.0
2020-05-15,-9999.0
2020-05-16,-9999.0
2020-05-17,-9999.0
2020-05-18,-9999.0
2020-05-19,-9999.0
2020-05-20,-9999.0
2020-05-21,3.88671875
2020-05-22,-9999.0
2020-05-23,8.890625
2020-05-24,-9999.0
2020-05-25,-9999.0
2020-05-26,-9999.0
2020-05-27,-9999.0
2020-05-28,-9999.0
2020-05-29,-9999.0
2020-05-30,-9999.0
2020-05-31,-9999.0
2020-06-01,-9999.0
2020-06-02,-9999.0
2020-06-03,-9999.0
2020-06-04,9.40625
2020-06-05,-9999.0
2020-06-06,-9999.0
2020-06-07,-9999.0
2020-06-08,8.1328125
2020-06-09,13.03125
2020-06-10,15.4296875
2020-06-11,-9999.0
2020-06-12,-9999.0
2020-06-13,-9999.0
2020-06-14,-9999.0
2020-06-15,6.796875
2020-06-16,-9999.0
2020-06-17,-9999.0
2020-06-18,9.8359375
2020-06-19,11.484375
2020-06-20,12.828125
2020-06-21,-9999.0
2020-06-22,12.390625
2020-06-23,-9999.0
2020-06-24,9.4765625
2020-06-25,-9999.0
2020-06-26,8.46875
2020-06-27,13.4921875
2020-06-28,13.0546875
2020-06-29,-9999.0
2020-06-30,-9999.0
2020-07-01,-9999.0
2020-07-02,-9999.0
2020-07-03,-9999.0
2020-07-04,8.0625
2020-07-05,12.96875
2020-07-06,13.484375
2020-07-07,15.96875
2020-07-08,15.390625
2020-07-09,-9999.0
2020-07-10,16.03125
2020-07-11,15.5859375
2020-07-12,11.875
2020-07-13,-9999.0
2020-07-14,12.0859375
2020-07-15,-9999.0
2020-07-16,-9999.0
2020-07-17,12.9609375
2020-07-18,-9999.0
2020-07-19,16.390625
2020-07-20,13.671875
2020-07-21,11.421875
2020-07-22,-9999.0
2020-07-23,-9999.0
2020-07-24,12.40625
2020-07-25,-9999.0
2020-07-26,16.609375
2020-07-27,17.65625
2020-07-28,9.421875
2020-07-29,13.8046875
2020-07-30,11.0
2020-07-31,11.1484375
2020-08-01,10.7578125
2020-08-02,15.90625
2020-08-03,12.5546875
2020-08-04,-9999.0
2020-08-05,9.8046875
2020-08-06,9.4140625
2020-08-07,12.7890625
2020-08-08,12.546875
2020-08-09,12.8515625
2020-08-10,-9999.0
2020-08-11,16.234375
2020-08-12,11.6640625
2020-08-13,13.2265625
2020-08-14,12.28125
2020-08-15,-9999.0
2020-08-16,-9999.0
2020-09-02,-9999.0
2020-09-03,11.59375
2020-09-04,7.546875
2020-09-05,8.859375
2020-09-06,8.25
2020-09-07,13.9609375
2020-09-08,14.015625
2020-09-09,14.8828125
2020-09-10,11.4921875
2020-09-11,-9999.0
2020-09-12,10.828125
2020-09-13,13.1484375
2020-09-14,6.2109375
2020-09-15,7.37890625
2020-09-16,8.921875
2020-09-17,8.625
2020-09-18,-9999.0
2020-09-19,5.19921875
2020-09-20,5.25390625
2020-09-21,5.78125
2020-09-22,8.1796875
2020-09-23,9.484375
2020-09-24,9.4765625
2020-09-25,10.8359375
2020-09-26,12.0390625
2020-09-27,-9999.0
2020-09-28,12.6796875
2020-09-29,-9999.0
2020-09-30,-9999.0
2020-10-01,6.9296875
2020-10-02,6.9609375
2020-10-03,5.328125
2020-10-04,-9999.0
2020-10-05,7.24609375
2020-10-06,7.76953125
2020-10-07,7.3828125
2020-10-08,4.96484375
2020-10-09,7.44140625
2020-10-10,10.28125
2020-10-11,6.703125
2020-10-12,10.0234375
2020-10-13,-9999.0
2020-10-14,6.06640625
2020-10-15,8.328125
2020-10-16,-9999.0
2020-10-17,4.171875
2020-10-18,-9999.0
2020-10-19,-9999.0
2020-10-20,-9999.0
2020-10-21,-9999.0
2020-10-22,-9999.0
2020-10-23,11.6953125
2020-10-24,-9999.0
2020-10-25,5.16796875
2020-10-26,-9999.0
2020-10-27,-9999.0
2020-10-28,6.078125
2020-10-29,-9999.0
2020-10-30,3.50390625
2020-10-31,4.01953125
2020-11-01,-9999.0
2020-11-02,3.046875
2020-11-03,-9999.0
2020-11-04,7.19140625
2020-11-05,-9999.0
2020-11-06,-9999.0
2020-11-07,-9999.0
2020-11-08,6.49609375
2020-11-09,-9999.0
2020-11-10,7.97265625
2020-11-11,-9999.0
2020-11-12,-9999.0
2020-11-13,5.3203125
2020-11-14,-9999.0
2020-11-15,-9999.0
2020-11-16,-9999.0
2020-11-17,2.20507812
2020-11-18,2.19335938
2020-11-19,6.890625
2020-11-20,-9999.0
2020-11-21,-9999.0
2020-11-22,-9999.0
2020-11-23,-9999.0
2020-11-24,2.99609375
2020-11-25,5.7421875
2020-11-26,-9999.0
2020-11-27,-9999.0
2020-11-28,-9999.0
2020-11-29,4.5234375
2020-11-30,-9999.0
2020-12-01,-9999.0
2020-12-02,-9999.0
2020-12-03,3.76953125
2020-12-04,-9999.0
2020-12-05,-9999.0
2020-12-06,-9999.0
2020-12-07,-9999.0
2020-12-08,-9999.0
2020-12-09,3.8125
2020-12-10,-9999.0
2020-12-11,5.80859375
2020-12-12,-9999.0
2020-12-13,-9999.0
2020-12-14,-9999.0
2020-12-15,2.51757812
