sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,cloud_temp
0.162499994,3.5078125,0.0,-5.4000001,-16.5249996
2.7874999,3.65234375,0.0,6.2874999,-2.6500001
2.7874999,3.65234375,0.0700000003,6.2874999,-26.8687496
2.7874999,3.65234375,1.15499997,1.22500002,-16.2749996
-1.39999998,2.3515625,0.0,4.0374999,-12.8999996
-1.39999998,2.3515625,0.649999976,4.0374999,-19.8999996
-1.39999998,2.3515625,0.0,4.0374999,-45.0562515
-1.39999998,2.3515625,1.67499995,4.0374999,-37.1500015
-3.4000001,2.49023438,0.0700000003,-5.0875001,-32.3687515
-3.4000001,2.49023438,16.3149986,-5.0875001,-37.7750015
-3.4000001,2.49023438,10.874999,3.8499999,-37.4000015
-3.4000001,2.49023438,32.0999985,3.8499999,-10.8999996
-3.4000001,2.49023438,0.0,3.8499999,-9.71249962
4.9749999,4.3828125,0.344999999,6.9124999,-7.9625001
4.9749999,4.3828125,0.0,6.9124999,-7.9625001
-3.9000001,1.92480469,0.319999993,-8.27499962,-24.0562496
-3.9000001,1.1484375,0.0,-6.3375001,-15.1499996
-3.9000001,1.1484375,7.11499929,-6.3375001,-51.5250015
-3.4000001,2.0546875,0.0149999997,-3.5250001,-20.0562496
-3.5875001,1.70703125,0.0299999993,-2.9000001,-12.5249996
-1.89999998,1.96386719,0.0,-8.77499962,-29.0249996
3.9124999,2.53710938,0.0,0.412499994,-31.7124996
4.4124999,3.32421875,0.0850000009,0.600000024,-37.4312515
9.78750038,4.734375,0.86500001,6.8499999,-25.1499996
9.78750038,4.734375,29.2749996,6.8499999,-44.9625015
0.474999994,3.73828125,0.0,-2.2125001,-19.1812496
0.474999994,3.73828125,0.0,-2.2125001,-13.3999996
-3.7125001,2.46875,0.689999938,-14.0874996,-17.4624996
-3.7125001,2.46875,0.0,-14.0874996,-17.4624996
-1.46249998,2.19726562,0.0,0.474999994,-33.2750015
-1.46249998,2.19726562,0.444999993,0.474999994,-33.2750015
-4.9000001,1.765625,0.0599999987,-11.9624996,-15.7124996
-2.0875001,3.23632812,0.0899999961,-8.33749962,-23.8999996
1.47500002,4.28125,0.0,2.3499999,-10.9624996
5.0374999,4.99609375,0.529999971,-9.83749962,-23.4312496
5.0374999,4.99609375,0.564999998,-9.83749962,-23.4312496
5.0374999,4.99609375,16.7699986,-9.83749962,-48.4937515
5.0374999,4.99609375,24.5350037,-9.83749962,-34.6500015
-6.2125001,1.39648438,0.275000006,-9.96249962,-22.3062496
2.4749999,3.04882812,0.0,0.100000001,-21.2749996
3.5999999,3.53320312,4.22499943,-5.5250001,-20.2437496
3.7249999,3.53320312,0.389999986,-9.89999962,-16.1499996
-1.58749998,2.54882812,0.379999995,-0.0250000004,-32.2437515
-1.58749998,2.54882812,10.3449984,-0.0250000004,-15.8999996
-1.58749998,2.54882812,0.0,-0.0250000004,-16.8999996
-3.2125001,2.359375,0.0,0.474999994,-34.8375015
-3.2125001,2.359375,0.289999992,0.474999994,-34.8375015
-1.83749998,2.046875,0.0749999955,0.412499994,-12.1499996
7.0374999,5.2734375,14.1499987,-1.58749998,-36.8062515
-0.524999976,2.29882812,0.0299999993,2.3499999,-17.2124996
-0.524999976,2.29882812,0.0,1.78750002,-19.1812496
-1.27499998,2.25195312,0.0,-0.400000006,-5.4625001
1.91250002,3.47851562,0.0,1.72500002,-8.39999962
8.66250038,3.44921875,0.0,3.7874999,-36.9625015
4.9124999,4.31640625,0.420000017,3.0374999,-23.7749996
3.0374999,4.48046875,1.63499999,-5.3375001,-11.3999996
8.91250038,4.734375,1.23000002,-1.71249998,-32.2437515
8.91250038,4.734375,14.2999992,-1.71249998,-23.6499996
-4.9000001,1.91894531,0.0899999961,-5.4625001,-22.5249996
-7.5250001,1.46191406,0.224999994,-7.7125001,-18.8687496
0.224999994,2.98242188,0.0,0.912500024,-13.5249996
5.7249999,4.23828125,6.36000061,-1.08749998,-35.6812515
5.7249999,4.23828125,3.70499969,-1.08749998,-35.6812515
2.9749999,2.75585938,1.68000007,4.9124999,-16.2124996
4.4749999,3.71289062,0.0,5.7874999,-7.9000001
5.0374999,4.484375,0.684999943,-4.5875001,-34.9625015
1.60000002,2.65429688,0.0,3.0374999,-19.5249996
8.72500038,4.29296875,0.13499999,8.10000038,-20.3374996
13.4125004,5.6875,0.0,13.2250004,-14.1499996
13.4125004,5.6875,12.5699997,8.22500038,-33.4000015
13.4125004,5.6875,0.0,8.22500038,-40.7750015
13.4125004,5.6875,0.0,12.4750004,-10.4624996
13.4125004,5.6875,3.2249999,12.4750004,-12.2124996
3.2874999,3.61328125,0.0,7.7874999,-42.4000015
0.162499994,2.8203125,0.0,5.5999999,-23.5562496
3.9124999,3.05859375,0.0,7.2249999,-46.6500015
3.9124999,3.05859375,0.0,7.2249999,-5.7750001
3.6624999,4.73828125,0.0,0.725000024,-35.8062515
3.6624999,4.73828125,8.47500038,0.725000024,-35.8062515
15.7250004,9.328125,12.3850002,0.725000024,-39.2437515
-1.33749998,2.18554688,0.0199999996,7.8499999,-31.2124996
1.35000002,2.45703125,0.0,5.9124999,-2.4625001
1.35000002,2.45703125,8.42000008,5.9124999,-45.7125015
4.6624999,3.54296875,0.0,3.3499999,-8.02499962
8.28750038,4.37109375,0.439999998,5.5999999,-19.0249996
8.28750038,4.37109375,0.0,5.5999999,-19.0249996
5.9749999,3.29296875,1.28999996,12.1000004,-2.6500001
5.9749999,3.29296875,8.52000046,1.66250002,-25.9624996
5.9749999,3.29296875,20.9899979,8.47500038,-14.5249996
5.9749999,3.29296875,2.62499976,8.47500038,-16.2124996
5.9749999,3.29296875,0.754999995,1.53750002,-5.5250001
5.6624999,3.984375,0.0,8.41250038,-5.5875001
5.6624999,3.984375,0.0,8.41250038,-5.5875001
10.4750004,7.44921875,3.28499985,1.85000002,-11.2749996
10.4750004,7.44921875,0.340000004,1.85000002,-11.2749996
10.4750004,7.44921875,0.0,12.7875004,-4.1500001
9.60000038,2.9375,0.0,12.7250004,-4.4625001
11.7250004,4.05078125,1.02999997,14.2875004,-38.7750015
11.7250004,4.05078125,4.4199996,14.2875004,-5.7125001
3.0374999,3.90234375,2.2349999,4.4749999,-13.4624996
1.10000002,2.65625,0.249999985,1.97500002,-21.3687496
2.8499999,2.8046875,0.0,9.22500038,-19.9312496
2.8499999,2.8046875,0.0,9.22500038,-14.8999996
2.8499999,2.8046875,20.9499969,9.22500038,-45.6812515
