time,mean_precipitation_rate,sur_air_temp,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-01-01,0.0,0.162499994,3.5078125,-16.5249996,-5.4000001
2020-01-02,0.0,2.7874999,3.65234375,-2.6500001,6.2874999
2020-01-03,0.125,2.7874999,3.65234375,-26.8687496,6.2874999
2020-01-04,1.10500002,2.7874999,3.65234375,-16.2749996,1.22500002
2020-01-05,0.0,-1.39999998,2.3515625,-12.8999996,4.0374999
2020-01-06,0.164999992,-1.39999998,2.3515625,-19.8999996,4.0374999
2020-01-07,0.0,-1.39999998,2.3515625,-45.0562515,4.0374999
2020-01-08,1.39999998,-1.39999998,2.3515625,-37.1500015,4.0374999
2020-01-09,0.0700000003,-3.4000001,2.49023438,-32.3687515,-5.0875001
2020-01-10,16.0799999,-3.4000001,2.49023438,-37.7750015,-5.0875001
2020-01-11,15.1900005,-3.4000001,2.49023438,-37.4000015,3.8499999
2020-01-12,21.3300018,-3.4000001,2.49023438,-10.8999996,3.8499999
2020-01-13,0.215000004,-3.4000001,2.49023438,-9.71249962,3.8499999
2020-01-14,0.0,4.9749999,4.3828125,-7.9625001,6.9124999
2020-01-15,0.0,4.9749999,4.3828125,-7.9625001,6.9124999
2020-01-16,0.210000008,-3.9000001,1.92480469,-24.0562496,-8.27499962
2020-01-17,0.0,-3.9000001,1.1484375,-15.1499996,-6.3375001
2020-01-18,10.04,-3.9000001,1.1484375,-51.5250015,-6.3375001
2020-01-19,0.0149999997,-3.4000001,2.0546875,-20.0562496,-3.5250001
2020-01-20,0.0299999993,-3.5875001,1.70703125,-12.5249996,-2.9000001
2020-01-21,0.0,-1.89999998,1.96386719,-29.0249996,-8.77499962
2020-01-22,0.0,3.9124999,2.53710938,-31.7124996,0.412499994
2020-01-23,0.0899999961,4.4124999,3.32421875,-37.4312515,0.600000024
2020-01-24,0.689999998,9.78750038,4.734375,-25.1499996,6.8499999
2020-01-25,30.0649986,9.78750038,4.734375,-44.9625015,6.8499999
2020-01-26,0.0,0.474999994,3.73828125,-19.1812496,-2.2125001
2020-01-27,0.0,0.474999994,3.73828125,-13.3999996,-2.2125001
2020-01-28,0.699999928,-3.7125001,2.46875,-17.4624996,-14.0874996
2020-01-29,0.0,-3.7125001,2.46875,-17.4624996,-14.0874996
2020-01-30,0.0,-1.46249998,2.19726562,-33.2750015,0.474999994
2020-01-31,0.13499999,-1.46249998,2.19726562,-33.2750015,0.474999994
2020-02-01,0.0,-4.9000001,1.765625,-15.7124996,-11.9624996
2020-02-02,0.00499999989,-2.0875001,3.23632812,-23.8999996,-8.33749962
2020-02-03,0.0,1.47500002,4.28125,-10.9624996,2.3499999
2020-02-04,0.314999998,5.0374999,4.99609375,-23.4312496,-9.83749962
2020-02-05,0.205000013,5.0374999,4.99609375,-23.4312496,-9.83749962
2020-02-06,15.3150005,5.0374999,4.99609375,-48.4937515,-9.83749962
2020-02-07,24.9899998,5.0374999,4.99609375,-34.6500015,-9.83749962
2020-02-08,0.13499999,-6.2125001,1.39648438,-22.3062496,-9.96249962
2020-02-09,0.0,2.4749999,3.04882812,-21.2749996,0.100000001
2020-02-10,4.33999968,3.5999999,3.53320312,-20.2437496,-5.5250001
2020-02-11,0.494999945,3.7249999,3.53320312,-16.1499996,-9.89999962
2020-02-12,0.38499999,-1.58749998,2.54882812,-32.2437515,-0.0250000004
2020-02-13,9.73999882,-1.58749998,2.54882812,-15.8999996,-0.0250000004
2020-02-14,0.425000012,-1.58749998,2.54882812,-16.8999996,-0.0250000004
2020-02-15,0.0,-3.2125001,2.359375,-34.8375015,0.474999994
2020-02-16,0.0749999955,-3.2125001,2.359375,-34.8375015,0.474999994
2020-02-17,0.229999989,-1.83749998,2.046875,-12.1499996,0.412499994
2020-02-18,14.789999,7.0374999,5.2734375,-36.8062515,-1.58749998
2020-02-19,0.0599999987,-0.524999976,2.29882812,-17.2124996,2.3499999
2020-02-20,0.0,-0.524999976,2.29882812,-19.1812496,1.78750002
2020-02-21,0.0,-1.27499998,2.25195312,-5.4625001,-0.400000006
2020-02-22,0.0,1.91250002,3.47851562,-8.39999962,1.72500002
2020-02-23,0.0,8.66250038,3.44921875,-36.9625015,3.7874999
2020-02-24,0.354999989,4.9124999,4.31640625,-23.7749996,3.0374999
2020-02-25,1.41499996,3.0374999,4.48046875,-11.3999996,-5.3375001
2020-02-26,1.92999995,8.91250038,4.734375,-32.2437515,-1.71249998
2020-02-27,12.2150002,8.91250038,4.734375,-23.6499996,-1.71249998
2020-02-28,0.334999979,-4.9000001,1.91894531,-22.5249996,-5.4625001
2020-02-29,0.109999999,-7.5250001,1.46191406,-18.8687496,-7.7125001
2020-03-01,0.0,0.224999994,2.98242188,-13.5249996,0.912500024
2020-03-02,6.52499962,5.7249999,4.23828125,-35.6812515,-1.08749998
2020-03-03,4.42999983,5.7249999,4.23828125,-35.6812515,-1.08749998
